constituencyNumber,constituencyName
10,Aizawl  North - i
13,Aizawl East - i
14,Aizawl East ii
11,Aizawl North - ii
12,Aizawl North-iii
18,Aizawl South i
19,Aizawl South ii
20,Aizawl South-iii
15,Aizawl West i
16,Aizawl West ii
17,Aizawl West iii
8,Chalfilh
23,Champhai North
24,Champhai South
2,Dampa
25,East tuipui
1,Hachhek
28,Hrangturzo
5,Kolasib
38,Lawngtlai East
37,Lawngtlai West
21,Lengteng
31,Lunglei East
30,Lunglei North
33,Lunglei South
32,Lunglei West
3,Mamit
40,Palak
26,Serchhip
6,Serlui
39,Siaha
29,South tuipui
9,Tawi
34,Thorang
22,Tuichang
36,Tuichawng
27,Tuikum
4,Tuirial
7,Tuivawl
35,West tuipui
